strategy,event_type,mark_price_basis,order_status,event_timestamp,symbol,side,planned_shares,planned_price,planned_notional,planned_fee,signal_date,execution_date,order_id,cost_rate,lot_size,filled_shares,filled_price,filled_notional,fee,reject_reason,remaining_shares,event_date,source_reason,cash_delta,share_delta,cancelled_shares,cancel_reason
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-24T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-24,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-29T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-29,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-29T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-29,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-31T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-31,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-01-31T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-01-31,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,000049,SELL,1700.0,20.35,34595.0,25.94625,2024-01-31,2024-02-01,2024-01-31:000049:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,000049,SELL,1700.0,,,,2024-01-31,2024-02-01,2024-01-31:000049:SELL,,,1700.0,20.32965,34560.405,25.92030375,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,002123,SELL,4000.0,8.0,32000.0,24.0,2024-01-31,2024-02-01,2024-01-31:002123:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,002123,SELL,4000.0,,,,2024-01-31,2024-02-01,2024-01-31:002123:SELL,,,4000.0,7.992,31968.0,23.976,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,600520,SELL,1800.0,18.19,32742.000000000004,24.556500000000003,2024-01-31,2024-02-01,2024-01-31:600520:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,600520,SELL,1800.0,,,,2024-01-31,2024-02-01,2024-01-31:600520:SELL,,,1800.0,18.17181,32709.258,24.5319435,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,600589,SELL,13500.0,3.13,42255.0,31.69125,2024-01-31,2024-02-01,2024-01-31:600589:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,600589,SELL,13500.0,,,,2024-01-31,2024-02-01,2024-01-31:600589:SELL,,,13500.0,3.12687,42212.744999999995,31.65955875,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,600986,SELL,8500.0,4.44,37740.0,28.305,2024-01-31,2024-02-01,2024-01-31:600986:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,600986,SELL,8500.0,,,,2024-01-31,2024-02-01,2024-01-31:600986:SELL,,,8500.0,4.435560000000001,37702.26,28.276695000000004,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,603363,SELL,7500.0,4.02,30149.999999999996,22.612499999999997,2024-01-31,2024-02-01,2024-01-31:603363:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,REJECTED_LIMIT_BLOCK,2024-02-01T09:30:00+08:00,603363,SELL,7500.0,,,,2024-01-31,2024-02-01,2024-01-31:603363:SELL,,,0.0,,0.0,0.0,limit_down_block,7500.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,CANCELLED_T1_CLOSE,2024-02-01T15:00:00+08:00,603363,SELL,,,,,2024-01-31,2024-02-01,2024-01-31:603363:SELL,,,,,,,,0.0,,,,,7500.0,limit_down_block
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,603613,SELL,2000.0,17.79,35580.0,26.685000000000002,2024-01-31,2024-02-01,2024-01-31:603613:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,603613,SELL,2000.0,,,,2024-01-31,2024-02-01,2024-01-31:603613:SELL,,,2000.0,17.772209999999998,35544.42,26.658314999999998,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,603949,SELL,2400.0,13.67,32808.0,24.606,2024-01-31,2024-02-01,2024-01-31:603949:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,603949,SELL,2400.0,,,,2024-01-31,2024-02-01,2024-01-31:603949:SELL,,,2400.0,13.65633,32775.192,24.581394000000003,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,603985,SELL,1800.0,16.7,30060.0,22.545,2024-01-31,2024-02-01,2024-01-31:603985:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,603985,SELL,1800.0,,,,2024-01-31,2024-02-01,2024-01-31:603985:SELL,,,1800.0,16.6833,30029.94,22.522455,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,002632,BUY,5900.0,6.787000000000001,40043.3,30.032475,2024-01-31,2024-02-01,2024-01-31:002632:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,002632,BUY,5900.0,,,,2024-01-31,2024-02-01,2024-01-31:002632:BUY,,,5900.0,6.16616,36380.344,27.285258,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,002771,BUY,2000.0,19.459000000000003,38918.00000000001,29.188500000000005,2024-01-31,2024-02-01,2024-01-31:002771:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,002771,BUY,2000.0,,,,2024-01-31,2024-02-01,2024-01-31:002771:BUY,,,2000.0,17.54753,35095.06,26.321295,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,002862,BUY,2900.0,13.607000000000001,39460.3,29.595225000000003,2024-01-31,2024-02-01,2024-01-31:002862:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,002862,BUY,2900.0,,,,2024-01-31,2024-02-01,2024-01-31:002862:BUY,,,2900.0,12.382369999999998,35908.87299999999,26.931654749999996,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,600610,BUY,5900.0,6.73,39707.0,29.780250000000002,2024-01-31,2024-02-01,2024-01-31:600610:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,600610,BUY,5900.0,,,,2024-01-31,2024-02-01,2024-01-31:600610:BUY,,,5900.0,6.126119999999999,36144.10799999999,27.108080999999995,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,603004,BUY,1700.0,22.946,39008.200000000004,29.256150000000005,2024-01-31,2024-02-01,2024-01-31:603004:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,603004,BUY,1700.0,,,,2024-01-31,2024-02-01,2024-01-31:603004:BUY,,,1700.0,21.020999999999997,35735.7,26.801775,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,603052,BUY,1200.0,31.218,37461.6,28.0962,2024-01-31,2024-02-01,2024-01-31:603052:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,603052,BUY,1200.0,,,,2024-01-31,2024-02-01,2024-01-31:603052:BUY,,,1200.0,28.408379999999998,34090.056,25.567542,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,603577,BUY,4900.0,8.14,39886.0,29.9145,2024-01-31,2024-02-01,2024-01-31:603577:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,603577,BUY,4900.0,,,,2024-01-31,2024-02-01,2024-01-31:603577:BUY,,,4900.0,7.4074,36296.26,27.222195000000003,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,605118,BUY,2200.0,17.666,38865.200000000004,29.148900000000005,2024-01-31,2024-02-01,2024-01-31:605118:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,605118,BUY,2200.0,,,,2024-01-31,2024-02-01,2024-01-31:605118:BUY,,,2200.0,15.715699999999998,34574.53999999999,25.930904999999996,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-01-31T15:00:00+08:00,605178,BUY,2200.0,18.117,39857.4,29.893050000000002,2024-01-31,2024-02-01,2024-01-31:605178:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-01T09:30:00+08:00,605178,BUY,2200.0,,,,2024-01-31,2024-02-01,2024-01-31:605178:BUY,,,2200.0,16.47646,36248.212,27.186159,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-08T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-08,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-08T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-08,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-22T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-22,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-22T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-22,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-23T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-23,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-23T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-23,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-02-23T15:00:00+08:00,603023,SELL,8600.0,3.35,28810.0,21.6075,2024-02-23,2024-02-26,2024-02-23:603023:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-02-26T09:30:00+08:00,603023,SELL,8600.0,,,,2024-02-23,2024-02-26,2024-02-23:603023:SELL,,,8600.0,3.34665,28781.19,21.5858925,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-28T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-28,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-02-28T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-02-28,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-02-28T15:00:00+08:00,603363,SELL,7500.0,3.82,28650.0,21.4875,2024-02-28,2024-02-29,2024-02-28:603363:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,REJECTED_LIMIT_BLOCK,2024-02-29T09:30:00+08:00,603363,SELL,7500.0,,,,2024-02-28,2024-02-29,2024-02-28:603363:SELL,,,0.0,,0.0,0.0,limit_down_block,7500.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,CANCELLED_T1_CLOSE,2024-02-29T15:00:00+08:00,603363,SELL,,,,,2024-02-28,2024-02-29,2024-02-28:603363:SELL,,,,,,,,0.0,,,,,7500.0,limit_down_block
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-02-28T15:00:00+08:00,003027,BUY,4000.0,16.740000000000002,66960.00000000001,50.22000000000001,2024-02-28,2024-02-29,2024-02-28:003027:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PARTIAL_FILL,2024-02-29T09:30:00+08:00,003027,BUY,4000.0,,,,2024-02-28,2024-02-29,2024-02-28:003027:BUY,,,2300.0,14.884869999999998,34235.200999999994,25.676400749999996,,1700.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,CANCELLED_T1_CLOSE,2024-02-29T15:00:00+08:00,003027,BUY,,,,,2024-02-28,2024-02-29,2024-02-28:003027:BUY,,,,,,,,0.0,,,,,1700.0,unfilled_at_t1_close
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-03-08T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-03-08,unknown_corporate_action_type,0.0,0.0,,
vls_mom_contrarian_v1_frozen,corporate_action,raw,CORPORATE_ACTION_FREEZE,2024-03-08T09:25:00+08:00,,,,,,,,,,,,,,,,,,2024-03-08,CORPORATE_ACTION_UNKNOWN_FAIL_CLOSED,0.0,0.0,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,002632,SELL,5900.0,8.3,48970.00000000001,36.727500000000006,2024-03-08,2024-03-11,2024-03-08:002632:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,002632,SELL,5900.0,,,,2024-03-08,2024-03-11,2024-03-08:002632:SELL,,,5900.0,8.2917,48921.030000000006,36.69077250000001,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,002771,SELL,2000.0,24.77,49540.0,37.155,2024-03-08,2024-03-11,2024-03-08:002771:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,002771,SELL,2000.0,,,,2024-03-08,2024-03-11,2024-03-08:002771:SELL,,,2000.0,24.74523,49490.46,37.117845,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,002862,SELL,2900.0,12.25,35525.0,26.64375,2024-03-08,2024-03-11,2024-03-08:002862:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,002862,SELL,2900.0,,,,2024-03-08,2024-03-11,2024-03-08:002862:SELL,,,2900.0,12.23775,35489.475,26.61710625,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,600610,SELL,5900.0,5.67,33453.0,25.089750000000002,2024-03-08,2024-03-11,2024-03-08:600610:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,600610,SELL,5900.0,,,,2024-03-08,2024-03-11,2024-03-08:600610:SELL,,,5900.0,5.66433,33419.547,25.06466025,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,603004,SELL,1700.0,21.4,36380.0,27.285,2024-03-08,2024-03-11,2024-03-08:603004:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,603004,SELL,1700.0,,,,2024-03-08,2024-03-11,2024-03-08:603004:SELL,,,1700.0,21.3786,36343.619999999995,27.257714999999997,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,603052,SELL,1200.0,35.6,42720.0,32.04,2024-03-08,2024-03-11,2024-03-08:603052:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,603052,SELL,1200.0,,,,2024-03-08,2024-03-11,2024-03-08:603052:SELL,,,1200.0,35.5644,42677.28,32.00796,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,603363,SELL,7500.0,3.97,29775.0,22.33125,2024-03-08,2024-03-11,2024-03-08:603363:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,603363,SELL,7500.0,,,,2024-03-08,2024-03-11,2024-03-08:603363:SELL,,,7500.0,3.9660300000000004,29745.225000000002,22.308918750000004,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,603577,SELL,4900.0,7.73,37877.0,28.40775,2024-03-08,2024-03-11,2024-03-08:603577:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,603577,SELL,4900.0,,,,2024-03-08,2024-03-11,2024-03-08:603577:SELL,,,4900.0,7.722270000000001,37839.12300000001,28.379342250000004,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,605118,SELL,2200.0,16.6,36520.0,27.39,2024-03-08,2024-03-11,2024-03-08:605118:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,605118,SELL,2200.0,,,,2024-03-08,2024-03-11,2024-03-08:605118:SELL,,,2200.0,16.5834,36483.48,27.362610000000004,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,605178,SELL,2200.0,16.2,35640.0,26.73,2024-03-08,2024-03-11,2024-03-08:605178:SELL,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,605178,SELL,2200.0,,,,2024-03-08,2024-03-11,2024-03-08:605178:SELL,,,2200.0,16.183799999999998,35604.35999999999,26.703269999999996,,0.0,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,PLANNED,2024-03-08T15:00:00+08:00,000798,BUY,5600.0,7.6000000000000005,42560.0,31.92,2024-03-08,2024-03-11,2024-03-08:000798:BUY,0.00075,100.0,,,,,,,,,,,,
vls_mom_contrarian_v1_frozen,order,raw,FILLED,2024-03-11T09:30:00+08:00,000798,BUY,5600.0,,,,2024-03-08,2024-03-11,2024-03-08:000798:BUY,,,5600.0,6.886879999999999,38566.52799999999,28.924895999999993,,0.0,,,,,,
