strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,cash_residual_ratio,intentional_cash_ratio,planned_cash_buffer_ratio,unexpected_cash_residual_ratio,planned_vs_filled_notional_gap,planned_vs_filled_share_gap,buy_order_shortfall_ratio,t1_not_tradable_reject_count,limit_block_reject_count
baseline_full_liquidity_detail_vol_position,2025-09-02,2025-09-01,203606.8016975,289223.2,492830.0016975,0.985660003395,4,0.5868619990743295,0,0.0,5,4,500000.0,5,0.7,0,0.40739459113295207,0.30000000000000004,0.30000000000000004,0.10739459113295202,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-03,2025-09-02,153804.86823999998,338516.22,492321.08823999995,0.9846421764799999,5,0.6875923621516246,4,292160.19,5,1,495766.9916975,5,0.7,2,0.3102595589770869,0.30000000000000004,0.30000000000000004,0.010259558977086858,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-04,2025-09-03,153804.86823999998,311850.75,465655.61824,0.9313112364799999,5,0.6697025393544622,5,342268.59,5,0,496073.45824,5,0.7,3,0.31004454216453825,0.30000000000000004,0.30000000000000004,0.010044542164538206,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-05,2025-09-04,153804.86823999998,329503.19,483308.05824,0.96661611648,5,0.6817663897430324,5,313803.03,5,0,467607.89824,5,0.7,3,0.32891845672174586,0.30000000000000004,0.30000000000000004,0.02891845672174581,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-08,2025-09-05,153804.86823999998,318687.26,472492.12824,0.94498425648,5,0.6744816282698458,5,325694.55,5,0,479499.41823999997,5,0.7,3,0.3207613239751988,0.30000000000000004,0.30000000000000004,0.020761323975198753,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-09,2025-09-08,153804.86823999998,314300.05,468104.91823999997,0.9362098364799999,5,0.6714307791973607,5,315446.51999999996,5,0,469251.38824,5,0.7,3,0.32776646397758985,0.30000000000000004,0.30000000000000004,0.027766463977589806,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-10,2025-09-09,153804.86823999998,321721.32,475526.18824,0.95105237648,5,0.676558574388391,5,320878.26999999996,5,0,474683.13824,5,0.7,5,0.3240158662687449,0.30000000000000004,0.30000000000000004,0.024015866268744857,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-11,2025-09-10,153804.86823999998,347100.3,500905.16823999997,1.00181033648,5,0.6929461343343396,5,327646.61,5,0,481451.47823999997,5,0.7,3,0.31946078720591115,0.30000000000000004,0.30000000000000004,0.0194607872059111,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-12,2025-09-11,153804.86823999998,350444.58999999997,504249.45823999995,1.00849891648,5,0.6949825810882759,5,341387.02,5,0,495191.88824,5,0.7,3,0.31059650186647814,0.30000000000000004,0.30000000000000004,0.010596501866478092,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-15,2025-09-12,153804.86823999998,353825.22,507630.08823999995,1.01526017648,5,0.697013885104298,5,348051.22000000003,5,0,501856.08823999995,5,0.7,5,0.30647205811409167,0.30000000000000004,0.30000000000000004,0.006472058114091628,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-16,2025-09-15,172672.36845749995,334335.69,507008.05845749995,1.014016116915,5,0.6594287495492062,1,48915.11,5,8,508035.32824,5,0.7,1,0.34017956037714664,0.30000000000000004,0.30000000000000004,0.040179560377146595,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-17,2025-09-16,152914.05443249995,355084.9,507998.95443249994,1.015997908865,5,0.6989874622806566,4,285786.95999999996,5,2,506552.9684574999,5,0.7,3,0.30192358807811875,0.30000000000000004,0.30000000000000004,0.0019235880781187098,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-18,2025-09-17,152914.05443249995,350985.5,503899.5544324999,1.0077991088649998,5,0.6965386194780143,5,354875.06,5,0,507789.1144325,5,0.7,4,0.30113692886740034,0.30000000000000004,0.30000000000000004,0.0011369288674002997,0.0,0,0.0,0,0
baseline_full_liquidity_detail_vol_position,2025-09-19,2025-09-18,152914.05443249995,354690.06,507604.1144325,1.015208228865,5,0.6987533195954144,5,351902.76,5,0,504816.81443249993,5,0.7,5,0.30290998647579004,0.30000000000000004,0.30000000000000004,0.002909986475789994,0.0,0,0.0,0,0
