strategy,cost_rate,month,monthly_return
baseline_b_score_v2,0.0,2026-02,-0.04030412621215029
baseline_b_score_v2,0.0,2026-03,-0.08238681045326213
baseline_b_score_v2,0.0,2026-04,-0.012933366413118375
baseline_b_score_v2,0.0015,2026-02,-0.04180412621215024
baseline_b_score_v2,0.0015,2026-03,-0.08525882972858656
baseline_b_score_v2,0.0015,2026-04,-0.01443336641311832
baseline_b_score_v2,0.002,2026-02,-0.042304126212150295
baseline_b_score_v2,0.002,2026-03,-0.08621516948702801
baseline_b_score_v2,0.002,2026-04,-0.014933366413118376
baseline_full_dynamic_factor,0.0,2026-02,0.0642369257243347
baseline_full_dynamic_factor,0.0,2026-03,-0.16540419067470669
baseline_full_dynamic_factor,0.0,2026-04,0.15231207257235546
baseline_full_dynamic_factor,0.0015,2026-02,0.06273692572433465
baseline_full_dynamic_factor,0.0015,2026-03,-0.1681441008609359
baseline_full_dynamic_factor,0.0015,2026-04,0.1508120725723554
baseline_full_dynamic_factor,0.002,2026-02,0.0622369257243347
baseline_full_dynamic_factor,0.002,2026-03,-0.1690564042563456
baseline_full_dynamic_factor,0.002,2026-04,0.15031207257235524
baseline_full_dynamic_factor_industry_cap2,0.0,2026-02,0.0642369257243347
baseline_full_dynamic_factor_industry_cap2,0.0,2026-03,-0.16540419067470669
baseline_full_dynamic_factor_industry_cap2,0.0,2026-04,0.04030013670894017
baseline_full_dynamic_factor_industry_cap2,0.0015,2026-02,0.06273692572433465
baseline_full_dynamic_factor_industry_cap2,0.0015,2026-03,-0.1681441008609359
baseline_full_dynamic_factor_industry_cap2,0.0015,2026-04,0.038800136708940114
baseline_full_dynamic_factor_industry_cap2,0.002,2026-02,0.0622369257243347
baseline_full_dynamic_factor_industry_cap2,0.002,2026-03,-0.1690564042563456
baseline_full_dynamic_factor_industry_cap2,0.002,2026-04,0.03830013670894017
baseline_full_liq_breakout_adj,0.0,2026-02,-0.009645630259183413
baseline_full_liq_breakout_adj,0.0,2026-03,-0.18176280596169048
baseline_full_liq_breakout_adj,0.0,2026-04,0.10056340856095591
baseline_full_liq_breakout_adj,0.0015,2026-02,-0.011145630259183359
baseline_full_liq_breakout_adj,0.0015,2026-03,-0.18447496114476392
baseline_full_liq_breakout_adj,0.0015,2026-04,0.09906340856095608
baseline_full_liq_breakout_adj,0.002,2026-02,-0.011645630259183415
baseline_full_liq_breakout_adj,0.002,2026-03,-0.18537801287245514
baseline_full_liq_breakout_adj,0.002,2026-04,0.09856340856095613
baseline_full_liquidity,0.0,2026-02,-0.04801164863416707
baseline_full_liquidity,0.0,2026-03,-0.011415723725471727
baseline_full_liquidity,0.0,2026-04,0.13767046914181713
baseline_full_liquidity,0.0015,2026-02,-0.04951164863416713
baseline_full_liquidity,0.0015,2026-03,-0.014397036182625
baseline_full_liquidity,0.0015,2026-04,0.13617046914181707
baseline_full_liquidity,0.002,2026-02,-0.05001164863416707
baseline_full_liquidity,0.002,2026-03,-0.015389807001676248
baseline_full_liquidity,0.002,2026-04,0.13567046914181713
baseline_full_liquidity_detail,0.0,2026-02,-0.1556937849233685
baseline_full_liquidity_detail,0.0,2026-03,0.11068705085467845
baseline_full_liquidity_detail,0.0,2026-04,-0.00429882174660845
baseline_full_liquidity_detail,0.0015,2026-02,-0.15719378492336855
baseline_full_liquidity_detail,0.0015,2026-03,0.10752160595494331
baseline_full_liquidity_detail,0.0015,2026-04,-0.005798821746608396
baseline_full_liquidity_detail,0.002,2026-02,-0.1576937849233685
baseline_full_liquidity_detail,0.002,2026-03,0.10646745765503152
baseline_full_liquidity_detail,0.002,2026-04,-0.006298821746608452
baseline_full_liquidity_industry_cap2,0.0,2026-02,-0.04801164863416707
baseline_full_liquidity_industry_cap2,0.0,2026-03,-0.07385647897743364
baseline_full_liquidity_industry_cap2,0.0,2026-04,0.13767046914181713
baseline_full_liquidity_industry_cap2,0.0015,2026-02,-0.04951164863416713
baseline_full_liquidity_industry_cap2,0.0015,2026-03,-0.07674147624624217
baseline_full_liquidity_industry_cap2,0.0015,2026-04,0.13617046914181707
baseline_full_liquidity_industry_cap2,0.002,2026-02,-0.05001164863416707
baseline_full_liquidity_industry_cap2,0.002,2026-03,-0.07770214200251169
baseline_full_liquidity_industry_cap2,0.002,2026-04,0.13567046914181713
baseline_full_liquidity_industry_penalty_0p10pt,0.0,2026-02,-0.06781083375038
baseline_full_liquidity_industry_penalty_0p10pt,0.0,2026-03,-0.02578930705250715
baseline_full_liquidity_industry_penalty_0p10pt,0.0,2026-04,0.08894279513087544
baseline_full_liquidity_industry_penalty_0p10pt,0.0015,2026-02,-0.06931083375038005
baseline_full_liquidity_industry_penalty_0p10pt,0.0015,2026-03,-0.02874934795975148
baseline_full_liquidity_industry_penalty_0p10pt,0.0015,2026-04,0.08744279513087538
baseline_full_liquidity_industry_penalty_0p10pt,0.002,2026-02,-0.06981083375038
baseline_full_liquidity_industry_penalty_0p10pt,0.002,2026-03,-0.02973502826216634
baseline_full_liquidity_industry_penalty_0p10pt,0.002,2026-04,0.08694279513087544
baseline_full_liquidity_industry_penalty_0p25pt,0.0,2026-02,-0.06781083375038
baseline_full_liquidity_industry_penalty_0p25pt,0.0,2026-03,-0.02578930705250715
baseline_full_liquidity_industry_penalty_0p25pt,0.0,2026-04,0.08894279513087544
baseline_full_liquidity_industry_penalty_0p25pt,0.0015,2026-02,-0.06931083375038005
baseline_full_liquidity_industry_penalty_0p25pt,0.0015,2026-03,-0.02874934795975148
baseline_full_liquidity_industry_penalty_0p25pt,0.0015,2026-04,0.08744279513087538
baseline_full_liquidity_industry_penalty_0p25pt,0.002,2026-02,-0.06981083375038
baseline_full_liquidity_industry_penalty_0p25pt,0.002,2026-03,-0.02973502826216634
baseline_full_liquidity_industry_penalty_0p25pt,0.002,2026-04,0.08694279513087544
baseline_full_liquidity_industry_penalty_0p50pt,0.0,2026-02,-0.06781083375038
baseline_full_liquidity_industry_penalty_0p50pt,0.0,2026-03,-0.02578930705250715
baseline_full_liquidity_industry_penalty_0p50pt,0.0,2026-04,0.08894279513087544
baseline_full_liquidity_industry_penalty_0p50pt,0.0015,2026-02,-0.06931083375038005
baseline_full_liquidity_industry_penalty_0p50pt,0.0015,2026-03,-0.02874934795975148
baseline_full_liquidity_industry_penalty_0p50pt,0.0015,2026-04,0.08744279513087538
baseline_full_liquidity_industry_penalty_0p50pt,0.002,2026-02,-0.06981083375038
baseline_full_liquidity_industry_penalty_0p50pt,0.002,2026-03,-0.02973502826216634
baseline_full_liquidity_industry_penalty_0p50pt,0.002,2026-04,0.08694279513087544
baseline_full_liquidity_industry_penalty_1pt,0.0,2026-02,-0.06781083375038
baseline_full_liquidity_industry_penalty_1pt,0.0,2026-03,-0.02578930705250715
baseline_full_liquidity_industry_penalty_1pt,0.0,2026-04,0.08894279513087544
baseline_full_liquidity_industry_penalty_1pt,0.0015,2026-02,-0.06931083375038005
baseline_full_liquidity_industry_penalty_1pt,0.0015,2026-03,-0.02874934795975148
baseline_full_liquidity_industry_penalty_1pt,0.0015,2026-04,0.08744279513087538
baseline_full_liquidity_industry_penalty_1pt,0.002,2026-02,-0.06981083375038
baseline_full_liquidity_industry_penalty_1pt,0.002,2026-03,-0.02973502826216634
baseline_full_liquidity_industry_penalty_1pt,0.002,2026-04,0.08694279513087544
baseline_full_liquidity_industry_penalty_2pt,0.0,2026-02,-0.06781083375038
baseline_full_liquidity_industry_penalty_2pt,0.0,2026-03,-0.02578930705250715
