experiment_id,experiment_group,experiment_name,strategy,trade_date,industry,industry_weight,industry_names
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-04,互联网,0.2102981804487514,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-04,影视音像,0.1956965416063317,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-04,生物制药,0.1917678204738098,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-04,电气设备,0.1915655701348254,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-04,食品,0.2076843305711037,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-05,互联网,0.1999335347093533,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-05,影视音像,0.2111306232160173,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-05,生物制药,0.1966930198687957,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-05,电气设备,0.1980688406546067,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-05,食品,0.1911190220966234,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-06,互联网,0.190808490188495,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-06,影视音像,0.2141360322610855,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-06,生物制药,0.1933680552554242,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-06,电气设备,0.2005612676568963,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-06,食品,0.1980137033797943,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-09,互联网,0.1930255405050651,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-09,影视音像,0.2125918482099383,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-09,生物制药,0.1979031035820674,1
1,industry,tiered_industry_controls,tiered_liquidity_then_bs_v2,2023-01-09,电气设备,0.2021513756378289,1
