column,valid_rows,valid_dates,row_coverage,date_coverage
score,394977,74,1.0,1.0
score_liq_breakout_adj,394977,74,1.0,1.0
liquidity_detail_score,394977,74,1.0,1.0
dynamic_factor_score,394977,74,1.0,1.0
s_liquidity,394977,74,1.0,1.0
s_breakout,394977,74,1.0,1.0
s_relative_amount,394921,74,0.9998582195925332,1.0
s_amount_ratio_5_20,394921,74,0.9998582195925332,1.0
s_low_impact_cost,394977,74,1.0,1.0
s_amount_stability,394910,74,0.999830369869638,1.0
bs_score_v2,394977,74,1.0,1.0
bs_consensus_score,165752,32,0.4196497517576973,0.43243243243243246
bs_model_rank_score,160548,32,0.4064743010352502,0.43243243243243246
