column,valid_rows,valid_dates,row_coverage,date_coverage
score,462058,87,1.0,1.0
score_liq_breakout_adj,462058,87,1.0,1.0
score_liq_breakout_adj_50p_50d,462058,87,1.0,1.0
score_liq_breakout_adj_40p_30d,462058,87,1.0,1.0
liquidity_detail_score,462058,87,1.0,1.0
dynamic_factor_score,462058,87,1.0,1.0
dynamic_ic_factor_score,462058,87,1.0,1.0
s_liquidity,462058,87,1.0,1.0
s_breakout,462058,87,1.0,1.0
s_rs,462058,87,1.0,1.0
s_relative_amount,462002,87,0.9998788030939839,1.0
s_amount_ratio_5_20,462002,87,0.9998788030939839,1.0
s_low_impact_cost,462058,87,1.0,1.0
s_amount_stability,461991,87,0.9998549965588736,1.0
bs_score_v2,462058,87,1.0,1.0
bs_consensus_score,232833,45,0.5039042717580909,0.5172413793103449
bs_model_rank_score,227629,45,0.4926416164204494,0.5172413793103449
