trade_date,signal_date,symbol,side,shares,price,notional,cost,in_risk,label
2023-11-30,2023-11-29,002142,BUY,4000,24.79,99163.6,74.3727,False,S60
2023-11-30,2023-11-29,002594,BUY,100,619.53,61953.16,46.4649,False,S60
2023-11-30,2023-11-29,300351,BUY,800,23.27,18615.52,13.9616,False,S60
2023-11-30,2023-11-29,688041,BUY,400,72.04,28816.52,21.6124,False,S60
2023-11-30,2023-11-29,688271,BUY,500,138.85,69426.3,52.0697,False,S60
2023-12-14,2023-12-13,002142,SELL,4000,22.11,88422.4,66.3168,True,S60
2023-12-14,2023-12-13,002594,SELL,100,593.1,59310.31,44.4827,True,S60
2023-12-14,2023-12-13,300351,SELL,800,20.72,16575.92,12.4319,True,S60
2023-12-14,2023-12-13,688041,SELL,400,78.4,31361.4,23.521,True,S60
2023-12-14,2023-12-13,688271,SELL,500,141.63,70812.95,53.1097,True,S60
2023-12-14,2023-12-13,000568,BUY,200,195.33,39066.94,29.3002,True,S60
2023-12-14,2023-12-13,002558,BUY,1800,15.06,27111.78,20.3338,True,S60
2023-12-14,2023-12-13,600938,BUY,2600,21.28,55338.66,41.504,True,S60
2023-12-14,2023-12-13,601398,BUY,17700,5.47,96863.25,72.6474,True,S60
2023-12-19,2023-12-18,300750,BUY,400,156.55,62619.4,46.9645,True,S60
2023-12-28,2023-12-27,000568,SELL,200,189.79,37957.08,28.4678,True,S60
2023-12-28,2023-12-27,002558,SELL,1800,11.28,20300.94,15.2257,True,S60
2023-12-28,2023-12-27,601398,SELL,17700,5.52,97672.14,73.2541,True,S60
2023-12-28,2023-12-27,002786,BUY,1100,17.71,19481.0,14.6107,True,S60
2023-12-28,2023-12-27,002855,BUY,600,38.6,23160.0,17.37,True,S60
2023-12-28,2023-12-27,300735,BUY,3200,23.19,74208.32,55.6562,True,S60
2023-12-28,2023-12-27,600938,BUY,2000,22.49,44975.8,33.7319,True,S60
2023-12-29,2023-12-28,600938,SELL,4600,22.43,103192.26,77.3942,True,S60
2023-12-29,2023-12-28,600941,BUY,900,108.48,97628.04,73.221,True,S60
2024-01-03,2024-01-02,300750,SELL,400,167.02,66809.44,50.1071,True,S60
2024-01-03,2024-01-02,002241,BUY,3700,21.41,79233.65,59.4252,True,S60
2024-01-12,2024-01-11,002786,SELL,1100,16.3,17930.0,13.4475,True,S60
2024-01-12,2024-01-11,002855,SELL,600,33.85,20310.0,15.2325,True,S60
2024-01-12,2024-01-11,300735,SELL,3200,20.83,66671.68,50.0038,True,S60
2024-01-12,2024-01-11,002415,BUY,700,33.49,23443.98,17.583,True,S60
2024-01-12,2024-01-11,601398,BUY,9200,5.45,50137.24,37.6029,True,S60
2024-01-12,2024-01-11,601857,BUY,4500,8.06,36288.45,27.2163,True,S60
2024-01-15,2024-01-12,600941,SELL,900,106.17,95550.21,71.6627,True,S60
2024-01-15,2024-01-12,000158,BUY,10600,9.25,98050.0,73.5375,True,S60
2024-01-17,2024-01-16,002241,SELL,3700,19.49,72131.13,54.0983,True,S60
2024-01-17,2024-01-16,000338,BUY,4300,16.37,70397.02,52.7978,True,S60
2024-01-26,2024-01-25,002415,SELL,700,34.96,24473.89,18.3554,True,S60
2024-01-26,2024-01-25,601398,SELL,9200,5.72,52659.88,39.4949,True,S60
2024-01-26,2024-01-25,601857,SELL,4500,8.94,40237.2,30.1779,True,S60
2024-01-26,2024-01-25,300059,BUY,2600,13.4,34836.1,26.1271,True,S60
2024-01-26,2024-01-25,600030,BUY,2200,21.84,48044.7,36.0335,True,S60
2024-01-26,2024-01-25,601099,BUY,8500,3.45,29325.0,21.9938,True,S60
2024-01-29,2024-01-26,000158,SELL,10600,9.11,96562.82,72.4221,True,S60
2024-01-29,2024-01-26,000002,BUY,9500,10.41,98895.0,74.1713,True,S60
2024-01-31,2024-01-30,000338,SELL,4300,16.36,70349.72,52.7623,True,S60
