trade_date,signal_date,symbol,side,shares,price,notional,cost,in_risk,label
2023-11-30,2023-11-29,002142,BUY,4000,24.79,99163.6,74.3727,False,B2
2023-11-30,2023-11-29,002594,BUY,100,619.53,61953.16,46.4649,False,B2
2023-11-30,2023-11-29,300351,BUY,800,23.27,18615.52,13.9616,False,B2
2023-11-30,2023-11-29,688041,BUY,400,72.04,28816.52,21.6124,False,B2
2023-11-30,2023-11-29,688271,BUY,500,138.85,69426.3,52.0697,False,B2
2023-12-14,2023-12-13,002142,SELL,4000,22.11,88422.4,66.3168,True,B2
2023-12-14,2023-12-13,002594,SELL,100,593.1,59310.31,44.4827,True,B2
2023-12-14,2023-12-13,300351,SELL,800,20.72,16575.92,12.4319,True,B2
2023-12-14,2023-12-13,688041,SELL,400,78.4,31361.4,23.521,True,B2
2023-12-14,2023-12-13,688271,SELL,500,141.63,70812.95,53.1097,True,B2
2023-12-14,2023-12-13,000568,BUY,100,195.33,19533.47,14.6501,True,B2
2023-12-14,2023-12-13,002558,BUY,1200,15.06,18074.52,13.5559,True,B2
2023-12-14,2023-12-13,600938,BUY,1700,21.28,36182.97,27.1372,True,B2
2023-12-14,2023-12-13,601398,BUY,11800,5.47,64575.5,48.4316,True,B2
2023-12-19,2023-12-18,300750,BUY,300,156.55,46964.55,35.2234,True,B2
2023-12-28,2023-12-27,000568,SELL,100,189.79,18978.54,14.2339,True,B2
2023-12-28,2023-12-27,002558,SELL,1200,11.28,13533.96,10.1505,True,B2
2023-12-28,2023-12-27,601398,SELL,11800,5.52,65114.76,48.8361,True,B2
2023-12-28,2023-12-27,002786,BUY,700,17.71,12397.0,9.2978,True,B2
2023-12-28,2023-12-27,002855,BUY,400,38.6,15440.0,11.58,True,B2
2023-12-28,2023-12-27,300735,BUY,2100,23.19,48699.21,36.5244,True,B2
2023-12-28,2023-12-27,600938,BUY,1200,22.49,26985.48,20.2391,True,B2
2023-12-29,2023-12-28,600938,SELL,2900,22.43,65055.99,48.792,True,B2
2023-12-29,2023-12-28,600941,BUY,600,108.48,65085.36,48.814,True,B2
2024-01-03,2024-01-02,300750,SELL,300,167.02,50107.08,37.5803,True,B2
2024-01-03,2024-01-02,002241,BUY,2500,21.41,53536.25,40.1522,True,B2
2024-01-12,2024-01-11,002786,SELL,700,16.3,11410.0,8.5575,True,B2
2024-01-12,2024-01-11,002855,SELL,400,33.85,13540.0,10.155,True,B2
2024-01-12,2024-01-11,300735,SELL,2100,20.83,43753.29,32.815,True,B2
2024-01-12,2024-01-11,002415,BUY,500,33.49,16745.7,12.5593,True,B2
2024-01-12,2024-01-11,601398,BUY,6300,5.45,34333.11,25.7498,True,B2
2024-01-12,2024-01-11,601857,BUY,3100,8.06,24998.71,18.749,True,B2
2024-01-15,2024-01-12,600941,SELL,600,106.17,63700.14,47.7751,True,B2
2024-01-15,2024-01-12,000158,BUY,7100,9.25,65675.0,49.2563,True,B2
2024-01-17,2024-01-16,002241,SELL,2500,19.49,48737.25,36.5529,True,B2
2024-01-17,2024-01-16,000338,BUY,2900,16.37,47477.06,35.6078,True,B2
2024-01-26,2024-01-25,002415,SELL,500,34.96,17481.35,13.111,True,B2
2024-01-26,2024-01-25,601398,SELL,6300,5.72,36060.57,27.0454,True,B2
2024-01-26,2024-01-25,601857,SELL,3100,8.94,27718.96,20.7892,True,B2
2024-01-26,2024-01-25,300059,BUY,1800,13.4,24117.3,18.088,True,B2
2024-01-26,2024-01-25,600030,BUY,1500,21.84,32757.75,24.5683,True,B2
2024-01-26,2024-01-25,601099,BUY,5800,3.45,20010.0,15.0075,True,B2
2024-01-29,2024-01-26,000158,SELL,7100,9.11,64678.87,48.5092,True,B2
2024-01-29,2024-01-26,000002,BUY,6300,10.41,65583.0,49.1872,True,B2
2024-01-31,2024-01-30,000338,SELL,2900,16.36,47445.16,35.5839,True,B2
2024-01-31,2024-01-30,601857,BUY,5600,9.26,51876.72,38.9075,True,B2
2024-02-19,2024-02-08,300059,SELL,1800,13.5,24299.28,18.2245,True,B2
2024-02-19,2024-02-08,600030,SELL,1500,22.61,33913.8,25.4354,True,B2
2024-02-19,2024-02-08,601099,SELL,5800,3.29,19082.0,14.3115,True,B2
2024-02-19,2024-02-08,000895,BUY,1300,32.48,42223.48,31.6676,True,B2
2024-02-19,2024-02-08,002340,BUY,2600,5.3,13791.96,10.344,True,B2
2024-02-19,2024-02-08,600111,BUY,800,18.49,14791.04,11.0933,True,B2
2024-02-20,2024-02-19,000002,SELL,6300,9.9,62370.0,46.7775,True,B2
2024-02-20,2024-02-19,002463,BUY,2400,27.36,65674.56,49.2559,True,B2
2024-02-22,2024-02-21,601857,SELL,5600,9.59,53680.48,40.2604,True,B2
2024-02-22,2024-02-21,600839,BUY,11300,4.82,54461.48,40.8461,True,B2
2024-03-04,2024-03-01,000895,SELL,1300,33.25,43221.75,32.4163,True,B2
2024-03-04,2024-03-01,002340,SELL,2600,5.55,14431.04,10.8233,True,B2
2024-03-04,2024-03-01,600111,SELL,800,19.25,15403.92,11.5529,True,B2
2024-03-04,2024-03-01,002281,BUY,600,34.87,20923.02,15.6923,True,B2
2024-03-04,2024-03-01,300045,BUY,800,22.97,18376.0,13.782,True,B2
2024-03-04,2024-03-01,603220,BUY,500,45.76,22878.85,17.1591,True,B2
2024-03-05,2024-03-04,002463,SELL,2400,28.77,69059.04,51.7943,True,B2
2024-03-05,2024-03-04,000938,BUY,2600,25.17,65434.46,49.0758,True,B2
2024-03-07,2024-03-06,600839,SELL,11300,5.63,63633.69,47.7253,True,B2
2024-03-07,2024-03-06,002456,BUY,7100,9.6,68160.0,51.12,True,B2
2024-03-18,2024-03-15,002281,SELL,600,40.29,24172.32,18.1292,False,B2
2024-03-18,2024-03-15,300045,SELL,800,24.91,19928.0,14.946,False,B2
2024-03-18,2024-03-15,603220,SELL,500,47.94,23970.2,17.9776,False,B2
2024-03-18,2024-03-15,601138,BUY,1100,24.71,27182.87,20.3872,False,B2
2024-03-18,2024-03-15,601225,BUY,2200,27.6,60716.92,45.5377,False,B2
2024-03-18,2024-03-15,601899,BUY,4500,16.63,74824.65,56.1185,False,B2
2024-03-19,2024-03-18,000938,SELL,2600,23.86,62043.02,46.5323,False,B2
2024-03-19,2024-03-18,603993,BUY,7600,8.25,62674.92,47.0062,False,B2
2024-03-21,2024-03-20,002456,SELL,7100,10.41,73911.0,55.4333,False,B2
2024-03-21,2024-03-20,300496,BUY,1100,64.79,71271.64,53.4537,False,B2
2024-04-01,2024-03-29,601138,SELL,1100,24.13,26545.31,19.909,False,B2
2024-04-01,2024-03-29,601225,SELL,2200,27.79,61137.78,45.8533,False,B2
2024-04-01,2024-03-29,601899,SELL,4500,17.95,80775.0,60.5813,False,B2
2024-04-01,2024-03-29,000977,BUY,800,42.68,34143.2,25.6074,False,B2
2024-04-01,2024-03-29,300975,BUY,1100,14.16,15576.33,11.6822,False,B2
2024-04-01,2024-03-29,601166,BUY,6400,18.61,119132.8,89.3496,False,B2
2024-04-02,2024-04-01,603993,SELL,7600,8.75,66476.44,49.8573,False,B2
2024-04-02,2024-04-01,600309,BUY,700,89.34,62541.5,46.9061,False,B2
2024-04-08,2024-04-03,300496,SELL,1100,51.34,56471.58,42.3537,False,B2
2024-04-08,2024-04-03,601857,BUY,6000,11.16,66978.6,50.234,False,B2
2024-04-17,2024-04-16,000977,SELL,800,37.46,29970.0,22.4775,False,B2
2024-04-17,2024-04-16,300975,SELL,1100,8.78,9659.32,7.2445,False,B2
2024-04-17,2024-04-16,601166,SELL,6400,18.74,119962.24,89.9717,False,B2
2024-04-17,2024-04-16,300760,BUY,100,282.08,28208.32,21.1562,False,B2
2024-04-17,2024-04-16,600019,BUY,7600,7.55,57400.52,43.0504,False,B2
2024-04-17,2024-04-16,601658,BUY,9700,5.38,52184.06,39.138,False,B2
2024-04-18,2024-04-17,600309,SELL,700,91.85,64295.63,48.2217,False,B2
2024-04-18,2024-04-17,601668,BUY,14100,5.88,82886.85,62.1651,False,B2
2024-04-22,2024-04-19,601857,SELL,100,12.0,1199.61,0.8997,False,B2
2024-04-23,2024-04-22,601857,SELL,5900,11.71,69073.07,51.8048,False,B2
2024-04-23,2024-04-22,002415,BUY,1900,35.86,68127.16,51.0954,False,B2
2024-05-06,2024-04-30,300760,SELL,100,324.79,32479.48,24.3596,False,B2
2024-05-06,2024-04-30,600019,SELL,7600,7.6,57729.6,43.2972,False,B2
2024-05-06,2024-04-30,601658,SELL,9700,5.48,53170.55,39.8779,False,B2
2024-05-06,2024-04-30,600570,BUY,900,21.45,19307.16,14.4804,False,B2
2024-05-06,2024-04-30,600887,BUY,2000,32.99,65987.8,49.4908,False,B2
2024-05-06,2024-04-30,601919,BUY,3900,14.0,54596.1,40.9471,False,B2
2024-05-07,2024-05-06,601668,SELL,14100,5.96,83972.55,62.9794,False,B2
2024-05-07,2024-05-06,601816,BUY,16000,5.51,88118.4,66.0888,False,B2
2024-05-10,2024-05-09,002415,SELL,1900,36.04,68479.23,51.3594,False,B2
2024-05-10,2024-05-09,300107,BUY,4800,13.97,67050.72,50.288,False,B2
2024-05-20,2024-05-17,600570,SELL,900,21.68,19509.03,14.6318,False,B2
2024-05-20,2024-05-17,600887,SELL,2000,32.16,64316.4,48.2373,False,B2
2024-05-20,2024-05-17,601919,SELL,3900,16.52,64423.32,48.3175,False,B2
2024-05-20,2024-05-17,000002,BUY,3600,9.0,32400.0,24.3,False,B2
2024-05-20,2024-05-17,600066,BUY,900,28.97,26070.03,19.5525,False,B2
2024-05-20,2024-05-17,601668,BUY,13700,6.44,88226.63,66.17,False,B2
2024-05-21,2024-05-20,601816,SELL,16000,5.51,88118.4,66.0888,False,B2
2024-05-21,2024-05-20,603993,BUY,9500,9.49,90171.15,67.6284,False,B2
2024-05-24,2024-05-23,300107,SELL,4800,11.26,54026.4,40.5198,False,B2
