strategy,signal_date,exit_date,cycle_ret,selected_count,gross_exposure,market_amount_ratio_20,market_liquidity_bucket,index_bucket,market_bs_ratio,market_avg_score,avg_s_liquidity,avg_relative_amount,avg_amount_ratio_5_20,avg_low_impact_cost,avg_amount_stability,avg_vol_20,median_hist_mdd_20,top_industry,top_industry_weight,industry_count,amount_state,industry_concentration_bucket,volatility_bucket
tiered_liquidity_then_bs_v2,2026-03-02,2026-03-16,0.006791875439391703,5,1.0,1.201198035417065,high_liquidity,index_neutral,0.058446,43.243156834005134,15.002748259435691,50.009160864785635,50.009160864785635,49.990839135214365,50.009160864785635,0.027145546730241114,-0.054560720555682785,小金属,0.2,5,amount_high,industry_diversified,vol_low
baseline_full_liquidity_detail_market_gate,2026-03-02,2026-03-16,-0.1194970349020586,5,1.0,1.201198035417065,high_liquidity,index_neutral,0.058446,43.243156834005134,15.002748259435691,50.009160864785635,50.009160864785635,49.990839135214365,50.009160864785635,0.027145546730241114,-0.054560720555682785,水运,0.2,5,amount_high,industry_diversified,vol_low
baseline_full_liquidity,2026-03-02,2026-03-16,-0.06642728136997396,5,1.0,1.201198035417065,high_liquidity,index_neutral,0.058446,43.243156834005134,15.002748259435691,50.009160864785635,50.009160864785635,49.990839135214365,50.009160864785635,0.027145546730241114,-0.054560720555682785,通信设备,0.6,3,amount_high,industry_high_concentration,vol_low
baseline_full_liquidity_detail_vol_position,2026-03-02,2026-03-16,-0.11705895413634844,5,0.1528826904224484,1.201198035417065,high_liquidity,index_neutral,0.058446,43.243156834005134,15.002748259435691,50.009160864785635,50.009160864785635,49.990839135214365,50.009160864785635,0.027145546730241114,-0.054560720555682785,水运,0.2,5,amount_high,industry_diversified,vol_low
baseline_full_liquidity_detail_hist_mdd_position,2026-03-02,2026-03-16,-0.1212153677563412,5,0.9393360995850626,1.201198035417065,high_liquidity,index_neutral,0.058446,43.243156834005134,15.002748259435691,50.009160864785635,50.009160864785635,49.990839135214365,50.009160864785635,0.027145546730241114,-0.054560720555682785,水运,0.2,5,amount_high,industry_diversified,vol_low
tiered_liquidity_then_bs_v2,2026-03-03,2026-03-17,0.020694998977221626,5,1.0,1.248317196065012,high_liquidity,index_neutral,0.048352,40.9810641025641,15.002747252747254,50.00915750915751,50.00915750915751,49.99084249084249,50.00915750915751,0.028015228045482045,-0.08849724851374058,煤炭开采,0.4,4,amount_high,industry_mid_concentration,vol_low
baseline_full_liquidity_detail_market_gate,2026-03-03,2026-03-17,-0.08628842852451506,5,1.0,1.248317196065012,high_liquidity,index_neutral,0.048352,40.9810641025641,15.002747252747254,50.00915750915751,50.00915750915751,49.99084249084249,50.00915750915751,0.028015228045482045,-0.08849724851374058,小金属,0.6,3,amount_high,industry_high_concentration,vol_low
baseline_full_liquidity,2026-03-03,2026-03-17,-0.053589303256082854,5,1.0,1.248317196065012,high_liquidity,index_neutral,0.048352,40.9810641025641,15.002747252747254,50.00915750915751,50.00915750915751,49.99084249084249,50.00915750915751,0.028015228045482045,-0.08849724851374058,通信设备,0.6,3,amount_high,industry_high_concentration,vol_low
baseline_full_liquidity_detail_vol_position,2026-03-03,2026-03-17,-0.08259000764643265,5,0.14858367261840227,1.248317196065012,high_liquidity,index_neutral,0.048352,40.9810641025641,15.002747252747254,50.00915750915751,50.00915750915751,49.99084249084249,50.00915750915751,0.028015228045482045,-0.08849724851374058,小金属,0.6,3,amount_high,industry_high_concentration,vol_low
baseline_full_liquidity_detail_hist_mdd_position,2026-03-03,2026-03-17,-0.08958648764807439,5,0.6806801673676559,1.248317196065012,high_liquidity,index_neutral,0.048352,40.9810641025641,15.002747252747254,50.00915750915751,50.00915750915751,49.99084249084249,50.00915750915751,0.028015228045482045,-0.08849724851374058,小金属,0.6,3,amount_high,industry_high_concentration,vol_low
tiered_liquidity_then_bs_v2,2026-03-04,2026-03-18,-0.10080888527260756,5,1.0,0.954117274880906,normal_liquidity,index_neutral,0.045596,39.12448635780993,15.002746749679545,50.00915583226515,50.00915583226515,49.99084416773485,50.00915583226515,0.02799632092393109,-0.09063136456211818,石油开采,0.4,4,amount_normal,industry_mid_concentration,vol_low
baseline_full_liquidity_detail_market_gate,2026-03-04,2026-03-18,-0.10196865201193686,5,1.0,0.954117274880906,normal_liquidity,index_neutral,0.045596,39.12448635780993,15.002746749679545,50.00915583226515,50.00915583226515,49.99084416773485,50.00915583226515,0.02799632092393109,-0.09063136456211818,小金属,0.4,4,amount_normal,industry_mid_concentration,vol_low
baseline_full_liquidity,2026-03-04,2026-03-18,-0.024022805438046028,5,1.0,0.954117274880906,normal_liquidity,index_neutral,0.045596,39.12448635780993,15.002746749679545,50.00915583226515,50.00915583226515,49.99084416773485,50.00915583226515,0.02799632092393109,-0.09063136456211818,通信设备,0.6,3,amount_normal,industry_high_concentration,vol_low
baseline_full_liquidity_detail_vol_position,2026-03-04,2026-03-18,-0.08995202412615277,5,0.16776657024519942,0.954117274880906,normal_liquidity,index_neutral,0.045596,39.12448635780993,15.002746749679545,50.00915583226515,50.00915583226515,49.99084416773485,50.00915583226515,0.02799632092393109,-0.09063136456211818,小金属,0.4,4,amount_normal,industry_mid_concentration,vol_low
baseline_full_liquidity_detail_hist_mdd_position,2026-03-04,2026-03-18,-0.10927000071826691,5,0.5560000317403294,0.954117274880906,normal_liquidity,index_neutral,0.045596,39.12448635780993,15.002746749679545,50.00915583226515,50.00915583226515,49.99084416773485,50.00915583226515,0.02799632092393109,-0.09063136456211818,小金属,0.4,4,amount_normal,industry_mid_concentration,vol_low
tiered_liquidity_then_bs_v2,2026-03-05,2026-03-19,-0.0740633592252889,5,1.0,0.9752605813573314,normal_liquidity,index_neutral,0.044306,39.31648297326986,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028081512969603938,-0.07810756916555112,石油开采,0.2,5,amount_normal,industry_diversified,vol_low
baseline_full_liquidity_detail_market_gate,2026-03-05,2026-03-19,0.05618374800660711,5,1.0,0.9752605813573314,normal_liquidity,index_neutral,0.044306,39.31648297326986,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028081512969603938,-0.07810756916555112,水运,0.2,5,amount_normal,industry_diversified,vol_low
baseline_full_liquidity,2026-03-05,2026-03-19,-0.027863217728960676,5,1.0,0.9752605813573314,normal_liquidity,index_neutral,0.044306,39.31648297326986,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028081512969603938,-0.07810756916555112,通信设备,0.6,3,amount_normal,industry_high_concentration,vol_low
baseline_full_liquidity_detail_vol_position,2026-03-05,2026-03-19,0.07133521392765012,5,0.1942221470765535,0.9752605813573314,normal_liquidity,index_neutral,0.044306,39.31648297326986,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028081512969603938,-0.07810756916555112,水运,0.2,5,amount_normal,industry_diversified,vol_low
baseline_full_liquidity_detail_hist_mdd_position,2026-03-05,2026-03-19,0.05031645868795954,5,0.5286923761125693,0.9752605813573314,normal_liquidity,index_neutral,0.044306,39.31648297326986,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028081512969603938,-0.07810756916555112,水运,0.2,5,amount_normal,industry_diversified,vol_low
tiered_liquidity_then_bs_v2,2026-03-06,2026-03-20,-0.09792546469266575,5,1.0,0.9163660778147229,normal_liquidity,index_neutral,0.046503,39.85320761625778,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028118115565393426,-0.06314319317847694,化学制药,0.4,4,amount_normal,industry_mid_concentration,vol_low
baseline_full_liquidity_detail_market_gate,2026-03-06,2026-03-20,-0.017983217161506283,5,1.0,0.9163660778147229,normal_liquidity,index_neutral,0.046503,39.85320761625778,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028118115565393426,-0.06314319317847694,半导体,0.2,5,amount_normal,industry_diversified,vol_low
baseline_full_liquidity,2026-03-06,2026-03-20,0.10280199525214795,5,1.0,0.9163660778147229,normal_liquidity,index_neutral,0.046503,39.85320761625778,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028118115565393426,-0.06314319317847694,通信设备,0.6,3,amount_normal,industry_high_concentration,vol_low
baseline_full_liquidity_detail_vol_position,2026-03-06,2026-03-20,-0.007813603741352738,5,0.18927957800652873,0.9163660778147229,normal_liquidity,index_neutral,0.046503,39.85320761625778,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028118115565393426,-0.06314319317847694,半导体,0.2,5,amount_normal,industry_diversified,vol_low
baseline_full_liquidity_detail_hist_mdd_position,2026-03-06,2026-03-20,0.02587447021742295,5,0.7215650845318364,0.9163660778147229,normal_liquidity,index_neutral,0.046503,39.85320761625778,15.002746246796045,50.00915415598682,50.00915415598682,49.99084584401318,50.00915415598682,0.028118115565393426,-0.06314319317847694,半导体,0.2,5,amount_normal,industry_diversified,vol_low
