strategy,requested_target,config_role,strategy_card,strategy_card_sha256,signal_time,execution_time,buy_price_rule,sell_price_rule,max_positions,target_exposure,single_stock_cap_pct_nav,industry_cap_pct_nav,hold_days,single_side_cost_rate,slippage_rate,stamp_tax_commission_minimum,lot_size,suspension_limit_st_delist,corporate_actions,partial_fill_cash_shortfall,risk_gate,fresh_replay_status,fresh_replay_blocker,historical_account_evidence,comparability
production_governed_vol_position,True,primary_governor,,NOT_VERIFIABLE,NOT_VERIFIABLE,t_plus_1_open,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,0.7,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,NONE,NON_COMPARABLE
baseline_full_liquidity_detail_vol_position,True,primary_selector,strategy_cards/baseline_full_liquidity_detail_vol_position.yaml,48ee3bd2ebd1f43e862154282766c7b208e35a9a59b998e1da360357ab6b5452,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,1.0,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,exports/signal_research/20260604_152142_206060_trusted_account_backtest,NON_COMPARABLE
adaptive_market_style,True,shadow_risk,strategy_cards/adaptive_market_style_shadow.yaml,422d8d638f244fd3f7acc7e32d9b32c6a3a6e20c4c3ebb33626bb54ce3a714b4,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,1.0,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,exports/signal_research/20260605_004258_229723_trusted_account_backtest,NON_COMPARABLE
dual_system_adaptive_route,True,challenger_or_discovered,strategy_cards/dual_system_adaptive_route.yaml,7e056941606ce54458eab8cf7133583b9c65466082c2acc1b2d5fcaf6d3607e4,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,1.0,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,exports/signal_research/20260604_163941_308980_trusted_account_backtest,NON_COMPARABLE
ashare_auto_shadow,True,challenger_or_discovered,strategy_cards/ashare_auto_shadow.yaml,30e9b87e0617b3bcad147bfbe95563d87a751f3d90b6efdd403cf9cedea4b03c,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,1.0,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,exports/signal_research/20260604_163941_308980_trusted_account_backtest,NON_COMPARABLE
tiered_liquidity_then_bs_v2,True,challenger_or_discovered,strategy_cards/tiered_liquidity_then_bs_v2.yaml,43063bf386780aeaa49ba9330eb79f4c2fc07178b7a262e9c77702e3520914b7,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,1.0,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,exports/signal_research/20260603_202728_444675_trusted_account_backtest,NON_COMPARABLE
ashare_hybrid_conservative_shadow,False,challenger_or_discovered,strategy_cards/ashare_hybrid_conservative_shadow.yaml,7059b4883c0f7f4001ac45d8699d231bfc73bd0ea896093e92e3477a14c0b97b,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,1.0,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,exports/signal_research/20260604_163941_308980_trusted_account_backtest,NON_COMPARABLE
ashare_trend_breakout_shadow,False,challenger_or_discovered,strategy_cards/ashare_trend_breakout_shadow.yaml,d0897c55f03f52c6c405f85b63d73b47131195dba9fc1dcb356a0341d074ef23,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,1.0,20,40,10.0,0.00075,0.0,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),100.0,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,exports/signal_research/20260604_163941_308980_trusted_account_backtest,NON_COMPARABLE
chenyiyun_selected,False,challenger_or_discovered,strategy_cards/chenyiyun_selected_legacy.yaml,5ce1fe8619134a0e44e8e9c345968daf1a5e132b1cba5f5e93cbbbb6cbce2b51,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,10,,20,40,,,,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,NONE,NON_COMPARABLE
repair_reversal_shadow,False,challenger_or_discovered,strategy_cards/repair_reversal_shadow.yaml,031ffa2b20f8bc075e16bc909cb47edb8880e7f9f9061be7d0513f9b6cccf67b,T_15_30,T+1_OPEN,T+1 raw open when tradable; fresh verification blocked,T+1 raw open / configured rebalance; fresh verification blocked,5,,20,40,,,,NOT_VERIFIABLE (saved runs expose aggregate single-side cost only),,strict code exists; immutable lifecycle snapshot absent,strict raw-price code exists; verified snapshot absent,strict ledger supports partial fill and T+1 close cancellation,production_strategy.yaml market_regime + portfolio_risk_budget,NOT_VERIFIABLE,verified corporate-action and security-lifecycle snapshots absent,NONE,NON_COMPARABLE
