trade_date,risk_decision,gross_exposure,position_ratio,target_position_ratio,risk_governor_reasons,next_5d_return,max_dd_5d,next_10d_return,max_dd_10d,next_20d_return,max_dd_20d,false_positive_reason
2024-02-01,reduce_position,0.4334380987412609,0.45,0.45,negative_recent_champion,0.023299870304826165,-0.007675952023942001,0.018116711904151428,-0.012506004412953131,0.05688328309736668,-0.023542627866982135,reduced_before_positive_forward_return
2024-02-02,reduce_position,0.4319356165973732,0.45,0.45,negative_recent_champion,0.02556564430200048,-0.00043658776482224937,0.023452407235917683,-0.012506004412952909,0.07653772560005034,-0.023542627866982024,reduced_before_positive_forward_return
2024-02-05,reduce_position,0.4275414522491422,0.45,0.45,negative_recent_champion,0.03210537588013329,-0.0017841915248698603,0.04575026712904817,-0.012506004412953131,0.07474059257632981,-0.023542627866982135,reduced_before_positive_forward_return
2024-02-06,reduce_position,0.437743508290052,0.45,0.45,negative_recent_champion,0.002823480829701186,-0.012506004412953131,0.009811081954992584,-0.016845629110088023,0.05030181520110033,-0.023542627866982135,reduced_before_positive_forward_return
2024-02-19,reduce_position,0.4415741463668647,0.45,0.45,negative_recent_champion,-0.0020605575838306134,-0.010740976847944061,0.03333097638548388,-0.016845629110087912,0.03900707570536066,-0.023542627866982024,reduced_before_positive_forward_return
2024-02-21,reduce_position,0.4383047801818897,0.45,0.45,high_volatility|negative_recent_champion,0.006967927316092082,-0.016845629110087912,0.03669164308000594,-0.016845629110087912,0.04680170203364309,-0.023542627866982135,reduced_before_positive_forward_return
2024-02-22,reduce_position,0.4412974249677727,0.45,0.45,high_volatility|negative_recent_champion,0.012739980643113213,-0.016845629110087912,0.015894407602178084,-0.023542627866982024,0.050321258585730666,-0.023542627866982024,reduced_before_positive_forward_return
2024-02-23,reduce_position,0.442505554960479,0.45,0.45,high_volatility|negative_recent_champion,0.017864126774084,-0.016845629110087912,0.03807674576003328,-0.023542627866982135,0.03622191420585974,-0.023542627866982135,reduced_before_positive_forward_return
2024-02-26,reduce_position,0.4439412838814698,0.5,0.5,high_volatility,0.035464610842142585,-0.016845629110087912,0.05186886853635153,-0.023542627866982024,0.05294610850368553,-0.023542627866982024,reduced_before_positive_forward_return
2024-02-28,reduce_position,0.4421915489252801,0.5,0.5,high_volatility,0.029518036232928813,-0.01201045015009472,0.040097335006185286,-0.023542627866982024,0.044933950343181595,-0.023542627866982024,reduced_before_positive_forward_return
2024-02-29,reduce_position,0.4483257443066103,0.5,0.5,high_volatility,0.0031147451659425673,-0.023542627866982024,0.023495148435501045,-0.023542627866982024,0.051952956133292316,-0.023542627866982024,reduced_before_positive_forward_return
2024-03-01,reduce_position,0.4522899173130429,0.5,0.5,high_volatility,0.019857875382649492,-0.023542627866982135,0.021554215188796855,-0.023542627866982135,0.06259014322043366,-0.023542627866982135,reduced_before_positive_forward_return
2024-03-05,reduce_position,0.4968016646776478,0.5,0.5,high_volatility,0.01859585631439087,-0.014812196107929942,0.015204665159685549,-0.019241408027125706,0.05102086893760016,-0.019241408027125706,reduced_before_positive_forward_return
2024-03-07,reduce_position,0.490858780947759,0.5,0.5,high_volatility,0.02031712061633284,-0.019241408027125928,0.033888217836350654,-0.019241408027125928,0.06568794202735684,-0.019241408027125928,reduced_before_positive_forward_return
2024-08-30,reduce_position,0.4387331273643898,0.45,0.45,negative_recent_champion,-0.017188696580724194,-0.023081886911634708,-0.02926548780604321,-0.035086262578616245,0.08129613138645753,-0.038974763182114236,reduced_before_positive_forward_return
2024-09-03,reduce_position,0.4350519673354572,0.45,0.45,negative_recent_champion,-0.011061679980544636,-0.011219223345465879,-0.022137858537686128,-0.019194342303854972,0.05425918515674755,-0.034548715744171066,reduced_before_positive_forward_return
2024-09-05,reduce_position,0.4290042129139318,0.45,0.45,negative_recent_champion,-0.0048375451029598615,-0.0060971831880748395,-0.014805224631782576,-0.016268381205705063,0.060900317354467104,-0.044555364581945645,reduced_before_positive_forward_return
2024-09-06,reduce_position,0.4289169541671735,0.45,0.45,negative_recent_champion,-0.0122880060325955,-0.011969490387863768,0.005108757645498674,-0.015951149145431498,0.051388381032187125,-0.044555364581945534,reduced_before_positive_forward_return
2024-09-09,reduce_position,0.4254135956021828,0.45,0.45,negative_recent_champion,-0.008065608825216564,-0.013795687593076145,0.01713732664706069,-0.015951149145431498,0.05589051530094813,-0.04613194676369392,reduced_before_positive_forward_return
2024-09-11,reduce_position,0.4194503347604078,0.45,0.45,negative_recent_champion,-0.012122644241071456,-0.01163744222132268,0.04532557237422452,-0.01163744222132268,0.06563512433561125,-0.04818131643152335,reduced_before_positive_forward_return
2024-09-12,reduce_position,0.4324454933078952,0.45,0.45,negative_recent_champion,-0.010016133024083995,-0.004804894148059402,0.07943024008442645,-0.004804894148059402,0.09341343575281891,-0.04818131643152346,reduced_before_positive_forward_return
2024-09-13,reduce_position,0.4428342476623669,0.45,0.45,negative_recent_champion,0.01761319472108025,-0.004804894148059402,0.113894806256162,-0.004804894148059402,0.08884895209979482,-0.04818131643152357,reduced_before_positive_forward_return
