signal_date,trade_date,risk_state,opp_structure,total_position,budgets,health_scores
2025-09-02,2025-09-03,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-03,2025-09-04,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 50.0, ""attack"": 50.0, ""balanced"": 50.0, ""defensive"": 50.0}"
2025-09-04,2025-09-05,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
2025-09-05,2025-09-08,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
2025-09-08,2025-09-09,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
2025-09-09,2025-09-10,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
2025-09-10,2025-09-11,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
2025-09-11,2025-09-12,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
2025-09-12,2025-09-15,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
2025-09-15,2025-09-16,NEUTRAL,NO_EDGE,0.55,"{""core"": 0.11000000000000001, ""attack"": 0.0, ""balanced"": 0.0825, ""defensive"": 0.35750000000000004}","{""core"": 49.92857142857142, ""attack"": 49.92857142857142, ""balanced"": 49.92857142857142, ""defensive"": 49.92857142857142}"
