strategy,trade_date,last_signal_date,cash,market_value,total_equity,nav,position_count,gross_exposure,locked_count,locked_value,candidate_count,executed,equity_before,max_total_positions,position_ratio,position_cap_skipped,adaptive_role,adaptive_underlying_strategy,adaptive_reason,adaptive_market_amount_ratio_20,adaptive_index_bucket,market_style_state,selected_strategy,style_reason,switch_reason,recent_champion_strategy,champion_score,weekly_switch_allowed,market_state,industry_state,adaptive_position_scale,adaptive_target_position_ratio,adaptive_position_reason,target_position_ratio
adaptive_market_style,2023-01-05,2023-01-04,154413.54440499994,344939.34,499352.88440499996,0.99870576881,5,0.6907726995729879,0,0.0,5,5,500000.0,5,0.7,0,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0567738881358764,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-06,2023-01-05,154413.54440499994,346264.86,500678.4044049999,1.0013568088099998,5,0.6915913627461062,5,345259.8,5,0,499673.3444049999,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1450144836931995,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-09,2023-01-06,154413.54440499994,351665.92,506079.4644049999,1.01215892881,5,0.6948828093893422,5,348093.12,5,0,502506.66440499993,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1393120933167395,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-10,2023-01-09,154413.54440499994,347368.94,501782.48440499994,1.00356496881,5,0.6922699591873971,5,352230.8,5,0,506644.3444049999,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.1135813776737984,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-11,2023-01-10,154413.54440499994,354229.04,508642.5844049999,1.0172851688099998,5,0.6964203369137292,5,348380.7,5,0,502794.24440499995,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0434940477903671,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,0.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-12,2023-01-11,154413.54440499994,354714.48,509128.0244049999,1.0182560488099999,5,0.6967097920302902,5,356243.84,5,0,510657.38440499996,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.0417647374981975,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-13,2023-01-12,154413.54440499994,356476.52,510890.06440499995,1.02178012881,5,0.6977558281842196,5,352652.45999999996,5,0,507066.0044049999,5,0.7,3,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9647761002906378,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-16,2023-01-13,154413.54440499994,354455.60000000003,508869.14440499997,1.01773828881,5,0.6965554974146656,5,355600.48,5,0,510014.0244049999,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.999244444389779,index_neutral,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_neutral,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-17,2023-01-16,154413.54440499994,351446.8,505860.3444049999,1.0117206888099999,5,0.6947506439022744,5,354417.46,5,0,508831.00440499996,5,0.8,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,1.2902436740862637,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_strong,normal,0.8,0.8,recent_champion_strong_market_raise_to_80pct,0.8
adaptive_market_style,2023-01-18,2023-01-17,154413.54440499994,351380.44000000006,505793.984405,1.01158796881,5,0.6947105952898053,5,351038.24,5,0,505451.7844049999,5,0.7,4,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,0.9960424747697851,index_strong,recent_champion,baseline_full_liquidity_detail_vol_position,recent_champion_default_3m_return_priority,recent_champion_default_3m_return_priority,baseline_full_liquidity_detail_vol_position,,1.0,index_strong,normal,0.7,0.7,recent_champion_default_70pct,0.7
adaptive_market_style,2023-01-19,2023-01-18,360044.03802,145158.82,505202.85802,1.01040571604,3,0.2873277886212066,0,0.0,5,7,504910.06440499995,5,0.5,0,defensive,baseline_full_liquidity,defensive_weak_market_or_attack_industry_risk,0.8959688348689601,index_strong,defensive,baseline_full_liquidity,defensive_weak_market_or_attack_industry_risk,defensive_weak_market_or_attack_industry_risk,baseline_full_liquidity_detail_vol_position,,1.0,index_strong,normal,0.5,0.5,defensive_reduce_to_50pct,0.5
